id,小区名称,所在区域,总价,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
133,晓镇家园,塘沽,81,10190元/平米,2室1厅1厨1卫,中楼层 (共34层),79.49㎡,平层,暂无数据,板楼,西北,钢混结构,精装,四梯八户,集中供暖,有,2023-05-24,商品房,2018-11-14,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
134,泰丰家园二期,开发区,298,15512元/平米,5室2厅1厨2卫,高楼层 (共10层),192.12㎡,跃层,暂无数据,板楼,南 北,钢混结构,简装,两梯两户,集中供暖,有,2023-03-18,商品房,2005-03-04,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
135,宇萃里,河北,63,23711元/平米,1室1厅1厨1卫,低楼层 (共6层),26.57㎡,平层,26.57㎡,板楼,南,砖混结构,精装,一梯五户,集中供暖,无,2023-05-31,商品房,2016-09-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
136,北岸尚城,武清,115,10465元/平米,2室2厅1厨1卫,低楼层 (共24层),109.9㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯三户,集中供暖,有,2023-06-14,私产,2010-01-19,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
137,爱丽家园东区,开发区,397,21982元/平米,3室2厅1厨2卫,高楼层 (共9层),180.61㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯两户,集中供暖,有,2022-11-17,商品房,2021-02-26,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
138,晓镇家园,塘沽,85,9730元/平米,2室1厅1厨1卫,高楼层 (共30层),87.36㎡,平层,71.55㎡,板楼,南,钢混结构,简装,三梯八户,集中供暖,有,2023-06-11,私产,2018-10-10,普通住宅,满两年,非共有,"
                                有抵押 41万元
                              ",已上传房本照片
139,新天地家园,河东,418,30420元/平米,3室2厅1厨2卫,中楼层 (共26层),137.41㎡,平层,暂无数据,板塔结合,南 西,钢混结构,精装,两梯三户,集中供暖,有,2023-03-10,商品房,2008-09-04,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
140,弘丽园,红桥,229,29058元/平米,2室1厅1厨1卫,低楼层 (共7层),78.81㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,2023-06-16,商品房,2004-07-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
141,禹洲御湖郡,静海,103,10898元/平米,2室2厅1厨1卫,高楼层 (共11层),94.52㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,2023-05-16,商品房,2020-11-24,普通住宅,满两年,非共有,"
                                有抵押 60万元 北京银行 业主自还
                              ",已上传房本照片
142,福居园,滨海新区,55,6191元/平米,2室1厅1厨1卫,中楼层 (共11层),88.85㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯三户,集中供暖,有,2023-06-15,限价商品房,2019-03-18,普通住宅,满两年,非共有,"
                                有抵押 20万元 业主自还
                              ",已上传房本照片
143,万通华府A区,开发区,780,25033元/平米,4室3厅1厨4卫,低楼层 (共29层),311.6㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,2021-08-14,商品房,2011-03-18,普通住宅,满五年,非共有,"
                                有抵押 业主自还
                              ",已上传房本照片
144,天津华侨城,东丽,85,7710元/平米,3室2厅1厨1卫,低楼层 (共32层),110.26㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,2023-06-11,商品房,2017-08-07,普通住宅,满五年,非共有,"
                                有抵押 55万元 农业 业主自还
                              ",已上传房本照片
145,和泓四季恋城,东丽,112,16247元/平米,2室1厅1厨1卫,低楼层 (共11层),68.94㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,2023-05-24,商品房,2017-07-12,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
146,舒畅嘉园,东丽,110,13847元/平米,2室1厅1厨1卫,低楼层 (共19层),79.44㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯五户,集中供暖,有,2023-06-03,限价商品房,2019-01-14,普通住宅,满两年,非共有,"
                                有抵押 10万元
                              ",已上传房本照片
147,秋瑞家园,北辰,115,14290元/平米,2室1厅1厨1卫,中楼层 (共17层),80.48㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯三户,集中供暖,有,2023-06-14,经济适用房,2017-12-11,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
148,瑞通里,北辰,110,13847元/平米,2室1厅1厨1卫,中楼层 (共6层),79.44㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,2023-06-01,商品房,2004-01-02,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
149,和馨园,滨海新区,123,14313元/平米,2室2厅1厨1卫,低楼层 (共17层),85.94㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,2023-05-25,商品房,2020-08-14,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片
150,月荣轩,开发区,235,17086元/平米,3室1厅1厨2卫,高楼层 (共33层),137.54㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯三户,集中供暖,有,2021-07-23,商品房,2017-06-23,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
151,天津海航城,宁河,92,7603元/平米,3室2厅1厨1卫,高楼层 (共7层),121.02㎡,跃层,103.54㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,2020-05-22,商品房,2018-04-24,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片
152,亚泰澜公馆,武清,125,14199元/平米,2室1厅1厨1卫,中楼层 (共32层),88.04㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯四户,集中供暖,有,2023-06-14,商品房,2019-12-20,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
153,南海里,河西,129,32114元/平米,2室1厅1厨1卫,中楼层 (共5层),40.17㎡,平层,40.17㎡,板楼,南 北,混合结构,其他,一梯四户,集中供暖,无,2023-05-19,商品房,2015-07-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
154,鑫洋园,津南,95,9491元/平米,3室1厅1厨1卫,中楼层 (共24层),100.1㎡,平层,暂无数据,板楼,南,混合结构,精装,一梯四户,集中供暖,暂无数据,2023-05-28,商品房,2019-12-05,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片
155,万科城市之光,东丽,213,18597元/平米,3室2厅1厨2卫,中楼层 (共8层),114.54㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2023-05-23,商品房,2016-11-15,普通住宅,满五年,非共有,"
                                有抵押 140万元
                              ",已上传房本照片
156,宝境栖园,宝坻,73,8598元/平米,2室1厅1厨1卫,中楼层 (共6层),84.91㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,无,2023-05-23,商品房,2013-11-07,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
157,泰达时代,开发区,265,18383元/平米,3室1厅1厨2卫,低楼层 (共12层),144.16㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,一梯两户,集中供暖,有,2023-06-01,私产,2019-09-10,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片
158,环秀中里,河东,69,11398元/平米,2室1厅1厨1卫,高楼层 (共7层),60.54㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,2023-06-08,商品房,2010-07-26,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
159,融创融园,东丽,204,21057元/平米,3室1厅1厨1卫,低楼层 (共24层),96.88㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,自供暖,有,2023-06-07,商品房,2020-08-07,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
160,天津海航城,宁河,90,6577元/平米,3室1厅1厨2卫,低楼层 (共7层),136.86㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,一梯两户,自供暖,暂无数据,2023-05-05,商品房,2018-09-12,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
161,雅园,开发区,340,28002元/平米,3室2厅1厨2卫,中楼层 (共6层),121.42㎡,平层,121㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,无,2023-06-14,商品房,2005-09-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
162,正大别墅,开发区,760,19512元/平米,9室3厅1厨4卫,低楼层 (共1层),389.52㎡,复式,暂无数据,暂无数据,南 北,混合结构,简装,一梯一户,自供暖,暂无数据,2022-09-13,私产,2011-09-20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
163,宝坻金辉城中央云著,宝坻,118,10868元/平米,3室2厅1厨1卫,低楼层 (共14层),108.58㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,自供暖,有,2023-05-22,商品房,2021-04-24,普通住宅,满两年,非共有,"
                                有抵押 40万元 业主自还
                              ",已上传房本照片
164,福波园,滨海新区,105,12018元/平米,3室1厅1厨1卫,低楼层 (共10层),87.37㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯两户,集中供暖,有,2023-05-24,商品房,2017-08-03,普通住宅,满五年,非共有,"
                                有抵押 30万元
                              ",已上传房本照片
165,京海公寓,和平,427,45900元/平米,3室1厅1厨1卫,中楼层 (共9层),93.03㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯三户,集中供暖,有,2023-04-05,商品房,2003-11-20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
166,远洋琨庭春华园,开发区,244,17927元/平米,3室2厅1厨2卫,高楼层 (共28层),136.11㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯三户,集中供暖,有,2021-06-28,商品房,2021-06-08,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
167,晶品轩,河东,270,28335元/平米,2室2厅1厨1卫,高楼层 (共33层),95.29㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,集中供暖,有,2023-06-12,商品房,2013-09-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
168,新都大厦,南开,296,31900元/平米,3室1厅1厨1卫,高楼层 (共28层),92.79㎡,平层,92.79㎡,塔楼,西南,钢混结构,其他,三梯十户,集中供暖,有,2023-06-02,商品房,2008-05-28,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
169,府湖里,南开,176,30981元/平米,2室1厅1厨1卫,低楼层 (共7层),56.81㎡,平层,暂无数据,板楼,南 西 北,混合结构,其他,一梯五户,集中供暖,无,2023-06-16,房改房,2017-02-06,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
170,富力又一城合力园,津南,106,11879元/平米,3室2厅1厨1卫,高楼层 (共33层),89.24㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,集中供暖,有,2022-11-04,商品房,2018-12-07,普通住宅,满两年,非共有,"
                                有抵押 83万元
                              ",已上传房本照片
171,阳光新园,开发区,375,23123元/平米,4室2厅1厨2卫,低楼层 (共6层),162.18㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,2023-03-13,商品房,2003-03-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
172,弘景苑,开发区,225,18024元/平米,3室2厅1厨2卫,高楼层 (共29层),124.84㎡,平层,124.84㎡,板楼,南 北,钢混结构,其他,两梯三户,集中供暖,有,2023-05-22,商品房,2013-09-27,普通住宅,满五年,非共有,"
                                有抵押 100万元 渤海 业主自还
                              ",已上传房本照片
173,沁园,开发区,328,13610元/平米,6室3厅1厨2卫,高楼层 (共7层),241.01㎡,跃层,暂无数据,板塔结合,南 北,混合结构,简装,一梯四户,集中供暖,无,2022-07-08,商品房,2020-07-10,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
174,禹洲御湖郡,静海,129,13622元/平米,3室1厅1厨3卫,高楼层 (共11层),94.7㎡,跃层,75㎡,板楼,南 北,钢混结构,其他,两梯三户,集中供暖,有,2023-06-14,商品房,2019-04-22,普通住宅,满两年,非共有,"
                                有抵押 35万元 中国农业银行股份有限公司静海县支行 业主自还
                              ",已上传房本照片
175,香榭里,和平,630,38971元/平米,4室2厅1厨2卫,低楼层 (共7层),161.66㎡,平层,148.46㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,2021-11-04,商品房,2009-12-30,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
176,和苑全和园,红桥,97,14132元/平米,2室1厅1厨1卫,中楼层 (共28层),68.64㎡,平层,暂无数据,板塔结合,东 南 北,钢混结构,毛坯,一梯五户,集中供暖,有,2023-06-05,商品房,2019-04-22,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
177,天津海航城,宁河,70,4670元/平米,3室2厅1厨2卫,中楼层 (共7层),149.92㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,一梯两户,自供暖,有,2023-05-04,商品房,2023-05-05,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片
178,中山东里,河北,68.9,11647元/平米,2室1厅1厨1卫,高楼层 (共6层),59.16㎡,平层,暂无数据,板楼,东 西,混合结构,精装,一梯四户,集中供暖,有,2023-05-24,商品房,2017-06-14,普通住宅,满五年,非共有,"
                                有抵押 25万元 工行 业主自还
                              ",已上传房本照片
179,昌海里,河北,219,28501元/平米,2室1厅1厨1卫,中楼层 (共6层),76.84㎡,平层,暂无数据,板楼,东 西,混合结构,简装,一梯两户,集中供暖,无,2023-06-12,房改房,1998-05-28,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
180,经纬城市绿洲华清家园,武清,118,12955元/平米,2室2厅1厨1卫,高楼层 (共33层),91.09㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯三户,集中供暖,有,2021-07-12,私产,2014-10-29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
181,天津富力新城,静海,234,14182元/平米,5室3厅2厨4卫,低楼层 (共3层),165㎡,暂无数据,南 北,钢混结构,精装,联排,集中供暖,null,null,null,2022-08-11,商品房,2016-08-10,别墅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片
182,富力津门湖云舒花园,西青,490,30522元/平米,4室2厅1厨2卫,中楼层 (共8层),160.54㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯两户,集中供暖,无,2023-05-28,商品房,2015-02-09,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
183,新雅居,和平,1200,52941元/平米,3室3厅1厨3卫,中楼层 (共15层),226.67㎡,跃层,暂无数据,板楼,南 北 西,钢混结构,精装,一梯两户,集中供暖,有,2023-06-16,商品房,2023-06-16,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片
184,中嘉花园秋水苑,红桥,100,10401元/平米,2室1厅1厨1卫,高楼层 (共6层),96.15㎡,平层,暂无数据,塔楼,南 北,混合结构,简装,一梯四户,集中供暖,无,2023-06-13,商品房,2003-09-13,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
185,滨海智谛山,塘沽,100,11320元/平米,2室1厅1厨1卫,高楼层 (共28层),88.34㎡,平层,88.34㎡,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,2023-06-14,商品房,2018-01-18,普通住宅,满五年,非共有,"
                                有抵押 50万元
                              ",已上传房本照片
186,正荣润璟湾,西青,165,17526元/平米,3室1厅1厨1卫,高楼层 (共26层),94.15㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,2023-05-22,商品房,2017-09-27,普通住宅,满五年,非共有,"
                                有抵押 60万元 中国银行 业主自还
                              ",已上传房本照片
187,云锦蓝庭,开发区,170,15899元/平米,2室2厅1厨1卫,高楼层 (共25层),106.93㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,集中供暖,有,2023-06-11,商品房,2012-11-07,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
188,方正龙天园,河西,278,26133元/平米,2室1厅1厨1卫,中楼层 (共7层),106.38㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,2023-04-20,商品房,2006-03-29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
189,康隆苑,开发区,198,18124元/平米,2室1厅1厨1卫,中楼层 (共5层),109.25㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,2023-05-22,商品房,2008-05-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
190,贝肯山金栗园,开发区,370,27238元/平米,3室2厅1厨2卫,中楼层 (共11层),135.84㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,一梯两户,集中供暖,有,2023-06-02,商品房,2020-10-27,普通住宅,满两年,共有,"
                                有抵押
                              ",已上传房本照片
191,富宜里,北辰,60,10410元/平米,2室1厅1厨1卫,高楼层 (共6层),57.64㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,2023-06-13,商品房,2000-03-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
192,世茂璀璨公园,津南,115,13097元/平米,2室1厅1厨1卫,低楼层 (共28层),87.81㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,两梯四户,集中供暖,有,2023-06-07,商品房,2019-01-21,普通住宅,满两年,非共有,"
                                有抵押 50万元 中国银行 业主自还
                              ",已上传房本照片
193,同发里(和平区),和平,249,46129元/平米,1室1厅1厨1卫,中楼层 (共9层),53.98㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,一梯四户,集中供暖,有,2023-06-15,商品房,2014-01-17,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
194,华亭国际,西青,162,14277元/平米,2室2厅1厨2卫,低楼层 (共16层),113.47㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,2023-06-04,商品房,2016-10-08,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片
195,福合园（中核海润府二期）,滨海新区,245,19347元/平米,3室2厅1厨2卫,低楼层 (共10层),126.64㎡,平层,126.64㎡,暂无数据,南 北,钢混结构,精装,一梯两户,暂无数据,暂无数据,2023-06-15,商品房,2021-09-22,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片
196,九江里,河西,137,27461元/平米,2室1厅1厨1卫,中楼层 (共5层),49.89㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯三户,集中供暖,无,2023-06-14,商品房,2014-09-23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
197,滨雅花园（远洋城8期）,塘沽,144,11118元/平米,3室1厅1厨2卫,高楼层 (共24层),129.53㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,暂无数据,有,2023-06-04,商品房,2020-06-10,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
198,静湖花园南区,武清,99,7762元/平米,3室2厅1厨1卫,中楼层 (共5层),127.55㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,暂无数据,2023-06-04,商品房,2018-12-14,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
199,西关北里,红桥,71,20234元/平米,1室1厅1厨1卫,中楼层 (共6层),35.09㎡,平层,25.07㎡,暂无数据,南,混合结构,精装,一梯七户,暂无数据,无,2022-02-07,商品房,2016-02-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
200,弘景苑,开发区,398,21866元/平米,6室2厅1厨2卫,高楼层 (共29层),182.02㎡,跃层,暂无数据,板楼,南 北,钢混结构,其他,两梯三户,集中供暖,有,2020-07-22,私产,2012-02-22,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片
201,同安新里,和平,280,68277元/平米,1室1厅1厨1卫,低楼层 (共6层),41.01㎡,平层,暂无数据,板楼,东 西,混合结构,精装,一梯五户,集中供暖,无,2023-06-01,商品房,2014-11-06,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
202,东惠家园,河东,84.9,13600元/平米,2室1厅1厨1卫,中楼层 (共32层),62.43㎡,平层,暂无数据,塔楼,南,钢混结构,简装,三梯八户,集中供暖,有,2023-06-17,商品房,2014-05-19,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
203,天成铂悦,开发区,262,18322元/平米,4室1厅1厨2卫,高楼层 (共20层),143㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯四户,集中供暖,有,2021-01-21,商品房,2020-09-19,普通住宅,满两年,非共有,"
                                有抵押 20万元
                              ",已上传房本照片
204,恒大金碧天下,蓟州,550,18136元/平米,4室2厅1厨4卫,低楼层 (共3层),303.27㎡,跃层,暂无数据,暂无数据,南 北,未知结构,其他,一梯一户,暂无数据,无,2023-05-21,商品房,2018-05-21,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片
205,弘景苑,开发区,280,19772元/平米,3室2厅1厨2卫,低楼层 (共29层),141.62㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯三户,集中供暖,有,2022-10-08,商品房,2016-12-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
206,幸福北里,南开,159,22783元/平米,2室1厅1厨1卫,高楼层 (共7层),69.79㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯七户,集中供暖,无,2023-06-08,商品房,2021-01-11,普通住宅,满两年,非共有,"
                                有抵押 30万元
                              ",已上传房本照片
207,卫安中里,南开,133,29033元/平米,1室1厅1厨1卫,低楼层 (共7层),45.81㎡,平层,暂无数据,板塔结合,南 西北,混合结构,简装,一梯四户,集中供暖,无,2023-06-10,商品房,2021-05-14,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
208,富邦花园,河西,345,50073元/平米,1室1厅1厨1卫,中楼层 (共18层),68.9㎡,平层,暂无数据,板楼,西,钢混结构,精装,一梯四户,集中供暖,有,2023-06-15,商品房,2014-06-17,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片
209,联发第五街,开发区,212,19404元/平米,3室1厅1厨1卫,中楼层 (共17层),109.26㎡,平层,109.26㎡,板楼,南,钢混结构,精装,两梯三户,集中供暖,有,2023-06-07,商品房,2019-01-02,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片
210,远洋万和城,西青,164,17313元/平米,2室2厅1厨1卫,低楼层 (共24层),94.73㎡,平层,暂无数据,板楼,南,钢混结构,其他,两梯四户,集中供暖,有,2023-05-21,商品房,2015-05-25,普通住宅,满五年,非共有,"
                                有抵押 业主自还
                              ",已上传房本照片
211,贝肯山斯茹园,开发区,405,22577元/平米,3室2厅1厨2卫,高楼层 (共22层),179.39㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,2021-03-18,商品房,2018-09-26,普通住宅,满两年,非共有,"
                                有抵押 224万元 浦发银行 业主自还
                              ",已上传房本照片
212,美景园,塘沽,138,13656元/平米,3室1厅1厨1卫,中楼层 (共6层),101.06㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,2023-06-09,商品房,2014-06-11,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
213,泰丰家园,开发区,354,11530元/平米,6室2厅1厨4卫,高楼层 (共4层),307.05㎡,跃层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,2021-12-24,商品房,2017-01-13,普通住宅,满五年,非共有,"
                                有抵押 230万元 工商银行 业主自还
                              ",已上传房本照片
214,银杏公寓,红桥,299,15281元/平米,4室3厅1厨2卫,中楼层 (共6层),195.68㎡,跃层,暂无数据,板塔结合,南 北,混合结构,简装,一梯三户,集中供暖,无,2022-07-01,商品房,2008-12-05,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
215,天鹅湖1号,武清,105,10526元/平米,2室1厅1厨1卫,高楼层 (共26层),99.76㎡,平层,暂无数据,塔楼,南 北,钢混结构,其他,两梯四户,集中供暖,有,2023-06-10,商品房,2014-06-23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
216,天鸿大厦,红桥,74,12605元/平米,1室1厅1厨1卫,高楼层 (共22层),58.71㎡,平层,暂无数据,塔楼,西,钢混结构,精装,三梯二十六户,集中供暖,有,2023-05-25,商品房,2017-05-30,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
217,万科东海岸,滨海新区,68.8,7616元/平米,3室2厅1厨1卫,中楼层 (共26层),90.34㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,两梯四户,集中供暖,有,2023-03-29,商品房,2016-07-28,普通住宅,满五年,非共有,"
                                有抵押 39万元 平安银行
                              ",已上传房本照片
218,华远波士顿上东轩,津南,119,13465元/平米,2室1厅1厨1卫,低楼层 (共28层),88.38㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯四户,集中供暖,有,2023-06-05,商品房,2018-04-24,普通住宅,满五年,非共有,"
                                有抵押 83万元 中德储蓄银行 金融公司垫资
                              ",已上传房本照片
219,滨海新城,开发区,215,17132元/平米,3室2厅1厨1卫,中楼层 (共31层),125.5㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,三梯四户,集中供暖,有,2023-02-28,商品房,2008-11-20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
220,泰达时代,开发区,213,17871元/平米,3室2厅1厨2卫,高楼层 (共10层),119.19㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,一梯两户,集中供暖,有,2022-03-31,商品房,2007-04-01,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
221,桐景园,开发区,265,18447元/平米,3室2厅1厨2卫,中楼层 (共5层),143.66㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,无,2023-05-28,商品房,2007-02-27,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
222,鸿坤山语,蓟州,205,13577元/平米,4室2厅1厨3卫,中楼层 (共4层),151㎡,跃层,暂无数据,暂无数据,南 北,未知结构,毛坯,一梯两户,暂无数据,暂无数据,2023-04-09,商品房,2018-10-03,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片
223,天嘉湖花园,津南,73,8408元/平米,2室1厅1厨1卫,低楼层 (共6层),86.83㎡,平层,暂无数据,塔楼,南,钢混结构,其他,一梯三户,自供暖,有,2023-06-06,商品房,2015-03-12,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
224,恒大金碧天下,蓟州,315,13056元/平米,6室2厅1厨3卫,低楼层 (共3层),241.27㎡,跃层,暂无数据,暂无数据,南 北,未知结构,其他,一梯两户,暂无数据,暂无数据,2023-06-19,商品房,2015-12-22,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片
225,林苑西里,南开,75,18501元/平米,2室1厅1厨1卫,高楼层 (共6层),40.54㎡,平层,40.54㎡,板楼,南 北,砖混结构,精装,一梯三户,集中供暖,无,2023-06-12,商品房,2019-06-18,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
226,中海国际公园城镜湖苑,津南,115,8416元/平米,4室2厅1厨2卫,高楼层 (共7层),136.66㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,四梯两户,集中供暖,有,2023-05-26,商品房,2015-08-27,普通住宅,满五年,非共有,"
                                有抵押 11万元 建设银行 业主自还
                              ",已上传房本照片
